Progress[740/126614], Elapsed[   4m], G_Loss[0.257], D_Real_Loss[0.559], D_Fake_Loss[0.452]
Progress[750/126614], Elapsed[   4m], G_Loss[0.253], D_Real_Loss[0.435], D_Fake_Loss[0.642]
Progress[760/126614], Elapsed[   4m], G_Loss[0.272], D_Real_Loss[0.928], D_Fake_Loss[0.302]
Progress[770/126614], Elapsed[   4m], G_Loss[0.229], D_Real_Loss[0.405], D_Fake_Loss[1.183]
Progress[780/126614], Elapsed[   4m], G_Loss[0.264], D_Real_Loss[0.504], D_Fake_Loss[0.376]
Progress[790/126614], Elapsed[   4m], G_Loss[0.322], D_Real_Loss[0.808], D_Fake_Loss[0.353]
Progress[800/126614], Elapsed[   4m], G_Loss[0.235], D_Real_Loss[0.311], D_Fake_Loss[0.737]
Progress[810/126614], Elapsed[   4m], G_Loss[0.265], D_Real_Loss[0.433], D_Fake_Loss[0.470]
Progress[820/126614], Elapsed[   4m], G_Loss[0.271], D_Real_Loss[0.662], D_Fake_Loss[0.427]
Progress[830/126614], Elapsed[   4m], G_Loss[0.265], D_Real_Loss[0.893], D_Fake_Loss[0.483]
Progress[840/126614], Elapsed[   5m], G_Loss[0.253], D_Real_Loss[0.330], D_Fake_Loss[0.567]
Progress[850/126614], Elapsed[   5m], G_Loss[0.262], D_Real_Loss[0.487], D_Fake_Loss[0.853]
Progress[860/126614], Elapsed[   5m], G_Loss[0.267], D_Real_Loss[0.352], D_Fake_Loss[0.622]
Progress[870/126614], Elapsed[   5m], G_Loss[0.263], D_Real_Loss[0.362], D_Fake_Loss[0.650]
Progress[880/126614], Elapsed[   5m], G_Loss[0.270], D_Real_Loss[0.305], D_Fake_Loss[0.552]
Progress[890/126614], Elapsed[   5m], G_Loss[0.289], D_Real_Loss[0.266], D_Fake_Loss[0.535]
Progress[900/126614], Elapsed[   5m], G_Loss[0.258], D_Real_Loss[0.140], D_Fake_Loss[1.195]
Progress[910/126614], Elapsed[   5m], G_Loss[0.301], D_Real_Loss[1.209], D_Fake_Loss[0.340]
Progress[920/126614], Elapsed[   5m], G_Loss[0.282], D_Real_Loss[0.949], D_Fake_Loss[0.205]
Progress[930/126614], Elapsed[   5m], G_Loss[0.304], D_Real_Loss[0.925], D_Fake_Loss[0.186]
Progress[940/126614], Elapsed[   5m], G_Loss[0.251], D_Real_Loss[0.698], D_Fake_Loss[0.576]
Progress[950/126614], Elapsed[   5m], G_Loss[0.277], D_Real_Loss[0.649], D_Fake_Loss[0.325]
Progress[960/126614], Elapsed[   5m], G_Loss[0.266], D_Real_Loss[0.830], D_Fake_Loss[0.368]
Progress[970/126614], Elapsed[   5m], G_Loss[0.277], D_Real_Loss[0.497], D_Fake_Loss[0.721]
Progress[980/126614], Elapsed[   5m], G_Loss[0.280], D_Real_Loss[0.791], D_Fake_Loss[0.358]
Progress[990/126614], Elapsed[   5m], G_Loss[0.293], D_Real_Loss[0.531], D_Fake_Loss[0.382]
Progress[1000/126614], Elapsed[   6m], G_Loss[0.267], D_Real_Loss[0.442], D_Fake_Loss[0.364]
    Saved train/batch001000_out.png
    Checkpoint saved
Progress[1010/126614], Elapsed[   6m], G_Loss[0.288], D_Real_Loss[1.372], D_Fake_Loss[0.239]
Progress[1020/126614], Elapsed[   6m], G_Loss[0.271], D_Real_Loss[0.568], D_Fake_Loss[0.708]
Progress[1030/126614], Elapsed[   6m], G_Loss[0.256], D_Real_Loss[0.625], D_Fake_Loss[0.652]
Progress[1040/126614], Elapsed[   6m], G_Loss[0.274], D_Real_Loss[0.899], D_Fake_Loss[0.269]
Progress[1050/126614], Elapsed[   6m], G_Loss[0.275], D_Real_Loss[0.852], D_Fake_Loss[0.309]
Progress[1060/126614], Elapsed[   6m], G_Loss[0.240], D_Real_Loss[0.381], D_Fake_Loss[0.713]
Progress[1070/126614], Elapsed[   6m], G_Loss[0.247], D_Real_Loss[0.662], D_Fake_Loss[0.630]
Progress[1080/126614], Elapsed[   6m], G_Loss[0.237], D_Real_Loss[0.340], D_Fake_Loss[1.053]
Progress[1090/126614], Elapsed[   6m], G_Loss[0.277], D_Real_Loss[0.428], D_Fake_Loss[0.721]
Progress[1100/126614], Elapsed[   6m], G_Loss[0.281], D_Real_Loss[0.533], D_Fake_Loss[0.545]
Progress[1110/126614], Elapsed[   6m], G_Loss[0.304], D_Real_Loss[0.677], D_Fake_Loss[0.191]
Progress[1120/126614], Elapsed[   6m], G_Loss[0.259], D_Real_Loss[0.766], D_Fake_Loss[0.518]
Progress[1130/126614], Elapsed[   6m], G_Loss[0.242], D_Real_Loss[0.461], D_Fake_Loss[0.625]
Progress[1140/126614], Elapsed[   6m], G_Loss[0.288], D_Real_Loss[1.075], D_Fake_Loss[0.212]
Progress[1150/126614], Elapsed[   6m], G_Loss[0.260], D_Real_Loss[0.435], D_Fake_Loss[0.456]
Progress[1160/126614], Elapsed[   6m], G_Loss[0.294], D_Real_Loss[0.666], D_Fake_Loss[0.509]
Progress[1170/126614], Elapsed[   7m], G_Loss[0.254], D_Real_Loss[0.628], D_Fake_Loss[0.433]
Progress[1180/126614], Elapsed[   7m], G_Loss[0.267], D_Real_Loss[0.438], D_Fake_Loss[0.891]
Progress[1190/126614], Elapsed[   7m], G_Loss[0.248], D_Real_Loss[0.452], D_Fake_Loss[0.776]
Progress[1200/126614], Elapsed[   7m], G_Loss[0.270], D_Real_Loss[0.838], D_Fake_Loss[0.432]
Progress[1210/126614], Elapsed[   7m], G_Loss[0.237], D_Real_Loss[0.234], D_Fake_Loss[1.734]
Progress[1220/126614], Elapsed[   7m], G_Loss[0.252], D_Real_Loss[0.854], D_Fake_Loss[0.556]
Progress[1230/126614], Elapsed[   7m], G_Loss[0.248], D_Real_Loss[0.376], D_Fake_Loss[0.664]
Progress[1240/126614], Elapsed[   7m], G_Loss[0.244], D_Real_Loss[0.344], D_Fake_Loss[0.933]
Progress[1250/126614], Elapsed[   7m], G_Loss[0.244], D_Real_Loss[0.374], D_Fake_Loss[0.583]
Progress[1260/126614], Elapsed[   7m], G_Loss[0.254], D_Real_Loss[0.525], D_Fake_Loss[0.889]
Progress[1270/126614], Elapsed[   7m], G_Loss[0.276], D_Real_Loss[0.662], D_Fake_Loss[0.743]
Progress[1280/126614], Elapsed[   7m], G_Loss[0.233], D_Real_Loss[0.633], D_Fake_Loss[0.887]
Progress[1290/126614], Elapsed[   7m], G_Loss[0.278], D_Real_Loss[0.482], D_Fake_Loss[0.934]
Progress[1300/126614], Elapsed[   7m], G_Loss[0.265], D_Real_Loss[0.435], D_Fake_Loss[0.629]
Progress[1310/126614], Elapsed[   7m], G_Loss[0.233], D_Real_Loss[0.334], D_Fake_Loss[0.960]
